Year,Town,Type,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Vergennes,Grand Total,1328,2418,476,703,17,132,48567210,30331128,29908091,1234994.146
2005,Vernon,Grand Total,1011,2065,509,422,7,73,51541677,35065313,33401334,1461794.539
2005,Vershire,Grand Total,345,660,147,169,3,26,13885724,8748874,8563955,356068.6674
2005,Victory,Grand Total,23,39,12,10,0,1,579857,273331,265240,9341.5806
2005,Waitsfield,Grand Total,1007,1790,409,503,22,73,60325589.8,44345842.76,41661134.76,2313714.618
2005,Walden,Grand Total,383,814,187,148,4,44,12687920,7669914,7531882,312538.6258
2005,Wallingford,Grand Total,1098,2038,510,487,11,90,48733611,32376913,31414063,1414479.883
2005,Waltham,Grand Total,217,419,109,98,6,4,12078436,8555150,8124256,415368.4001
2005,Wardsboro,Grand Total,395,720,167,186,10,32,14540845,9073627,8652555,346001.1707
2005,Warren,Grand Total,869,1524,328,455,18,68,49668858,38443545,36081559,1871615.527
2005,Washington,Grand Total,567,1049,253,273,3,38,23359325,15844239,14519341,559662.9667
2005,Waterbury,Grand Total,2689,4904,1104,1326,46,213,144946258,102880976,99875982,4924725.734
2005,Waterford,Grand Total,619,1287,347,233,7,32,31149068.15,21560718,20701123,939425.1716
2005,Waterville,Grand Total,351,695,159,155,7,30,13946051,9151685,8729164,385986.8548
2005,Weathersfield,Grand Total,1335,2558,679,556,11,89,56761720,37861068,37215790,1620573.765
2005,Wells,Grand Total,556,1051,259,248,12,37,24287984,16123552,15387738,625750.0018
2005,Wells River,Grand Total,231,398,73,123,1,34,6658206,3816781,3762584,148696.1566
2005,West Fairlee,Grand Total,257,525,123,94,9,31,11657894,7564007,7441930,330711.6868
2005,West Haven,Grand Total,138,253,69,64,0,5,5313477,3483009,3222770,138915.4179
2005,West Rutland,Grand Total,1330,2381,508,688,21,113,51502288,33538856,32281430,1491745.372
2005,West Windsor,Grand Total,504,955,262,221,4,17,28994641,21665433,20512260,1045623.312
2005,Westfield,Grand Total,243,448,117,101,5,20,7859348,4626250,4454001,176227.5125
2005,Westford,Grand Total,946,1949,476,404,8,58,53799212,37612401,36383497,1807915.991
2005,Westminster,Grand Total,1441,2779,657,654,17,113,65812792,44679219,42909251,2093463.187
2005,Westmore,Grand Total,163,323,97,57,0,9,5971387,3616290,3486571,139497.7741
2005,Weston,Grand Total,302,550,148,139,5,10,21555225,15189114,14445895,709877.4024
2005,Weybridge,Grand Total,416,853,216,172,5,23,27258657,19213581,18205087,972480.0789
2005,Wheelock,Grand Total,312,639,158,131,4,19,11700685,7252553,7061197,284428.4975
2005,Whiting,Grand Total,231,440,101,117,2,11,8556904,5329119,5242283,228167.8878
2005,Whitingham,Grand Total,608,1194,295,251,10,52,25489375,15434962,15722811,580132.558
2005,Williamstown,Grand Total,1644,3195,760,720,24,140,61479316,38972810,38508311,1580452.994
2005,Williston,Grand Total,4411,8751,2089,2001,50,271,300801193,217836681,211922280,11162292.36
2005,Wilmington,Grand Total,1113,1958,400,599,18,96,49988365,33817431,31622606,1398766.946
2005,Windham,Grand Total,253,448,104,122,8,19,13653800,9580295,8209732,231947.6793
2005,Windsor,Grand Total,1853,3365,704,926,23,200,67890073,43803975,42106925,1777330.5
2005,Winhall,Grand Total,377,689,191,165,11,10,38684977,28566009,25015496,1257192.864
2005,Winooski,Grand Total,3200,5123,835,1985,53,327,104238507,66765367,65075252,2728080.645
2005,Wolcott,Grand Total,813,1539,327,380,13,93,26983910,16436023,16006504,639405.4557
2005,Woodbury,Grand Total,398,760,193,171,5,29,17187924,11454692,11129249,448925.3656
2005,Woodford,Grand Total,178,334,88,71,7,12,10001021,7479456,5949394,318940.1304
2005,Woodstock,Grand Total,1764,3058,696,920,35,113,109602999,76706611,69432463,3444893.454
2005,Worcester,Grand Total,477,928,235,204,5,33,19994252,13228028,12886999,581470.0496
2005,Suppressed,Grand Total,202,377,100,83,6,13,9749950,8257543,7550802,305503.0409
2006,Addison,Grand Total,760,1530,363,333,12,52,33592010,21534115,20555871,910773.7482
2006,Albany,Grand Total,414,839,205,168,2,39,13592200,8106108,7690500,314590.1961
2006,Alburg,Grand Total,1014,1921,444,466,22,82,40336371,25776399,25229470,1028320.851
2006,Andover,Grand Total,238,439,123,96,8,11,12215786,8575763,7972528,374630.2313
2006,Arlington,Grand Total,1340,2380,540,663,22,115,64869156.01,43961429,40950582,1858707.14
2006,Athens,Grand Total,149,313,74,60,0,15,5397277,3141124,3034911,117627.2868
2006,Bakersfield,Grand Total,550,1172,281,216,5,48,22841886,14365495,14160564,576623.2652
2006,Baltimore,Grand Total,109,218,61,40,0,8,4793209,3056319,3038878,127292
2006,Barnard,Grand Total,447,826,223,188,13,23,40079720,32814631,24872997,1282658.73
2006,Barnet,Grand Total,790,1618,399,319,11,61,34659853,23366142,22138907,954717.9836
2006,Barre City,Grand Total,4535,7816,1396,2501,78,560,151183322,94190043,92673479,3813273.506
2006,Barre Town,Grand Total,4034,7932,1971,1689,44,330,212693444,146437764,142392899,6985278.334
2006,Barton,Grand Total,915,1693,361,449,17,88,28739797,16579184,16245540,650131.2572
2006,Belvidere,Grand Total,154,295,67,72,2,13,6653873,4344434,3759529,173294.3003
2006,Bennington,Grand Total,6904,12442,2427,3550,121,806,272872534.3,173050652.3,169162902.3,6867626.046
2006,Benson,Grand Total,464,952,216,192,6,50,18111050,11243433,10766137,451652.2725
2006,Berkshire,Grand Total,643,1369,323,252,8,60,26757761,17507937,16667779,739577.4436
2006,Berlin,Grand Total,1337,2413,536,653,16,132,67608565,47265157,46135058,2325990.289
2006,Bethel,Grand Total,1027,1918,433,479,13,102,41050846.01,26313037.23,25672443.23,1075254.079
2006,Bloomfield,Grand Total,103,197,41,47,2,13,3217700,1863859,1845737,74285.047
2006,Bolton,Grand Total,552,1068,245,253,12,42,28590641,19539525,19356772,875998.6166
2006,Bradford,Grand Total,1345,2496,528,637,32,148,56578034,37204361,35821046,1621795.498
2006,Braintree,Grand Total,627,1173,276,276,13,62,24051335,15196405,14743823,631617.6859
2006,Brandon,Grand Total,2042,3824,871,981,19,171,85686783.73,56408726,53946432,2540274.326
2006,Brattleboro,Grand Total,6148,10527,1943,3445,97,663,250849759,166283016,159421110,7039578.606
2006,Bridgewater,Grand Total,501,894,219,245,8,29,23751922,16153445,14671664,680600.459
2006,Bridport,Grand Total,614,1172,293,276,9,36,24317836,16755476,15724996,702104.7222
2006,Brighton,Grand Total,570,1029,214,284,12,60,16143614,9215789,8849376,346846.4698
2006,Bristol,Grand Total,2016,3744,782,1004,40,190,78951442,50455479,49272386,2100252.081
2006,Brookfield,Grand Total,582,1211,315,215,9,43,29314625,19465907,19104026,907160.1293
2006,Brookline,Grand Total,239,480,115,110,4,10,11316236,7705533,7453032,327854.0679
2006,Brownington,Grand Total,406,843,187,169,6,44,12012572,6790958,6690350,249210.9454
2006,Brunswick,Grand Total,42,83,22,18,0,2,1262785,707618,695598,27557.439
2006,Burke,Grand Total,806,1547,364,362,6,74,36883873,25373606,23924010,1215021.01
2006,Burlington,Grand Total,17756,27430,4545,11569,264,1378,925256498.7,677062450,606307636,33618617.33
2006,Cabot,Grand Total,619,1269,304,251,12,52,25734426,16028993,15467296,720021.5231
2006,Calais,Grand Total,835,1591,372,387,11,65,44866126,30504482,29564392,1591994.881
2006,Cambridge,Grand Total,1748,3310,781,810,31,126,78360869,50895156,49704350,2168417.264
2006,Canaan,Grand Total,445,913,226,170,6,43,15040991,9089419,8884655,346196.7999
2006,Castleton,Grand Total,1836,3368,806,867,20,143,82891852,55508574,53334776,2382336.443
2006,Cavendish,Grand Total,619,1162,277,295,8,39,25735621,16682462,16050193,650485.2258
2006,Charleston,Grand Total,468,904,217,206,7,38,13874670,8157674,7974272,314136.778
2006,Charlotte,Grand Total,1853,3800,956,796,8,93,304618478,242836081,208497557,14561095.03
2006,Chelsea,Grand Total,602,1108,262,287,11,42,22964968,14461134,13956897,600030.6959
